dates;simulation_Les Oubliels;forecast_('norain', 'Les Oubliels');forecast_('10%', 'Les Oubliels');forecast_('20%', 'Les Oubliels');forecast_('50%', 'Les Oubliels');forecast_('80%', 'Les Oubliels');forecast_('90%', 'Les Oubliels')
2004-01-01;11,349624;;;;;;
2004-01-02;11,350129;;;;;;
2004-01-03;11,350544;;;;;;
2004-01-04;11,3508835;;;;;;
2004-01-05;11,351158;;;;;;
2004-01-06;11,35138;;;;;;
2004-01-07;11,351559;;;;;;
2004-01-08;11,351699;;;;;;
2004-01-09;11,363056;;;;;;
2004-01-10;11,375676;;;;;;
2004-01-11;11,385989;;;;;;
2004-01-12;11,394384;;;;;;
2004-01-13;11,401185;;;;;;
2004-01-14;11,406659;;;;;;
2004-01-15;11,411027;;;;;;
2004-01-16;11,414573;;;;;;
2004-01-17;11,418848;;;;;;
2004-01-18;11,422199;;;;;;
2004-01-19;11,424782;;;;;;
2004-01-20;11,426724;;;;;;
2004-01-21;11,428134;;;;;;
2004-01-22;11,430041;;;;;;
2004-01-23;11,573241;;;;;;
2004-01-24;11,9427805;;;;;;
2004-01-25;12,270923;;;;;;
2004-01-26;12,566637;;;;;;
2004-01-27;12,781614;;;;;;
2004-01-28;12,940348;;;;;;
2004-01-29;13,058225;;;;;;
2004-01-30;13,141478;;;;;;
2004-01-31;13,197673;;;;;;
2004-02-01;13,233433;;;;;;
2004-02-02;13,253698;;;;;;
2004-02-03;13,262215;;;;;;
2004-02-04;13,261856;;;;;;
2004-02-05;13,254847;;;;;;
2004-02-06;13,242922;;;;;;
2004-02-07;13,227436;;;;;;
2004-02-08;13,209452;;;;;;
2004-02-09;13,189802;;;;;;
2004-02-10;13,169136;;;;;;
2004-02-11;13,147961;;;;;;
2004-02-12;13,126669;;;;;;
2004-02-13;13,105559;;;;;;
2004-02-14;13,08486;;;;;;
2004-02-15;13,063685;;;;;;
2004-02-16;13,041936;;;;;;
2004-02-17;13,019768;;;;;;
2004-02-18;12,997312;;;;;;
2004-02-19;12,974672;;;;;;
2004-02-20;15,241767;;;;;;
2004-02-21;16,68504;;;;;;
2004-02-22;17,212345;;;;;;
2004-02-23;17,3951;;;;;;
2004-02-24;17,40457;;;;;;
2004-02-25;17,316313;;;;;;
2004-02-26;17,170334;;;;;;
2004-02-27;17,02324;;;;;;
2004-02-28;16,845438;;;;;;
2004-02-29;16,650288;;;;;;
2004-03-01;16,446613;;;;;;
2004-03-02;16,24039;;;;;;
2004-03-03;16,03571;;;;;;
2004-03-04;15,835377;;;;;;
2004-03-05;15,641291;;;;;;
2004-03-06;15,495928;;;;;;
2004-03-07;15,347639;;;;;;
2004-03-08;15,199519;;;;;;
2004-03-09;15,053758;;;;;;
2004-03-10;14,911888;;;;;;
2004-03-11;14,7749605;;;;;;
2004-03-12;14,643674;;;;;;
2004-03-13;14,67866;;;;;;
2004-03-14;14,672177;;;;;;
2004-03-15;14,637346;;;;;;
2004-03-16;14,583197;;;;;;
2004-03-17;14,516113;;;;;;
2004-03-18;14,440706;;;;;;
2004-03-19;14,36034;;;;;;
2004-03-20;14,277493;;;;;;
2004-03-21;14,193989;;;;;;
2004-03-22;14,111173;;;;;;
2004-03-23;14,030023;;;;;;
2004-03-24;13,951241;;;;;;
2004-03-25;13,875319;;;;;;
2004-03-26;13,802586;;;;;;
2004-03-27;13,733244;;;;;;
2004-03-28;13,667406;;;;;;
2004-03-29;14,00386;;;;;;
2004-03-30;14,841167;;;;;;
2004-03-31;15,253884;;;;;;
2004-04-01;15,454965;;;;;;
2004-04-02;15,533724;;;;;;
2004-04-03;15,536455;;;;;;
2004-04-04;15,490225;;;;;;
2004-04-05;15,412096;;;;;;
2004-04-06;15,313389;;;;;;
2004-04-07;15,201873;;;;;;
2004-04-08;15,083003;;;;;;
2004-04-09;14,960664;;;;;;
2004-04-10;14,837641;;;;;;
2004-04-11;14,715933;;;;;;
2004-04-12;14,596964;;;;;;
2004-04-13;14,481733;;;;;;
2004-04-14;14,370919;;;;;;
2004-04-15;14,264963;;;;;;
2004-04-16;16,340296;;;;;;
2004-04-17;17,037577;;;;;;
2004-04-18;17,298985;;;;;;
2004-04-19;17,352676;;;;;;
2004-04-20;17,291788;;;;;;
2004-04-21;17,163645;;;;;;
2004-04-22;17,21854;;;;;;
2004-04-23;17,162174;;;;;;
2004-04-24;17,040066;;;;;;
2004-04-25;16,878525;;;;;;
2004-04-26;16,693903;;;;;;
2004-04-27;16,496857;;;;;;
2004-04-28;16,46511;;;;;;
2004-04-29;16,724848;;;;;;
2004-04-30;16,79702;;;;;;
2004-05-01;16,76261;;;;;;
2004-05-02;16,843483;;;;;;
2004-05-03;18,015596;;;;;;
2004-05-04;18,394758;;;;;;
2004-05-05;18,464577;;;;;;
2004-05-06;18,379053;;;;;;
2004-05-07;18,207663;;;;;;
2004-05-08;17,98751;;;;;;
2004-05-09;17,740452;;;;;;
2004-05-10;17,480154;;;;;;
2004-05-11;17,215502;;;;;;
2004-05-12;16,983969;;;;;;
2004-05-13;16,748545;;;;;;
2004-05-14;16,514347;;;;;;
2004-05-15;16,284832;;;;;;
2004-05-16;16,062326;;;;;;
2004-05-17;15,848356;;;;;;
2004-05-18;15,643882;;;;;;
2004-05-19;15,449448;;;;;;
2004-05-20;15,265303;;;;;;
2004-05-21;15,091476;;;;;;
2004-05-22;14,944912;;;;;;
2004-05-23;14,803978;;;;;;
2004-05-24;14,669255;;;;;;
2004-05-25;14,54108;;;;;;
2004-05-26;14,419612;;;;;;
2004-05-27;14,3048725;;;;;;
2004-05-28;14,196789;;;;;;
2004-05-29;14,095211;;;;;;
2004-05-30;13,999939;;;;;;
2004-05-31;13,910738;;;;;;
2004-06-01;13,827347;;;;;;
2004-06-02;13,749492;;;;;;
2004-06-03;13,6768875;;;;;;
2004-06-04;13,609251;;;;;;
2004-06-05;13,546299;;;;;;
2004-06-06;13,487755;;;;;;
2004-06-07;13,43335;;;;;;
2004-06-08;13,382823;;;;;;
2004-06-09;13,335925;;;;;;
2004-06-10;13,2924185;;;;;;
2004-06-11;13,252076;;;;;;
2004-06-12;13,2146845;;;;;;
2004-06-13;13,180038;;;;;;
2004-06-14;13,147949;;;;;;
2004-06-15;13,1182375;;;;;;
2004-06-16;13,090734;;;;;;
2004-06-17;13,064262;;;;;;
2004-06-18;13,038145;;;;;;
2004-06-19;13,0123825;;;;;;
2004-06-20;12,9869795;;;;;;
