dates;simulation_Les Oubliels;forecast_('norain', 'Les Oubliels');forecast_('10%', 'Les Oubliels');forecast_('20%', 'Les Oubliels');forecast_('50%', 'Les Oubliels');forecast_('80%', 'Les Oubliels');forecast_('90%', 'Les Oubliels')
01/01/2004;12,1281805;;;;;;
02/01/2004;12,128848;;;;;;
03/01/2004;12,129384;;;;;;
04/01/2004;12,12981;;;;;;
05/01/2004;12,13015;;;;;;
06/01/2004;12,130418;;;;;;
07/01/2004;12,130627;;;;;;
08/01/2004;12,130789;;;;;;
09/01/2004;12,146046;;;;;;
10/01/2004;12,162653;;;;;;
11/01/2004;12,175847;;;;;;
12/01/2004;12,186303;;;;;;
13/01/2004;12,194559;;;;;;
14/01/2004;12,201041;;;;;;
15/01/2004;12,206092;;;;;;
16/01/2004;12,210116;;;;;;
17/01/2004;12,215199;;;;;;
18/01/2004;12,2191;;;;;;
19/01/2004;12,222044;;;;;;
20/01/2004;12,224214;;;;;;
21/01/2004;12,225758;;;;;;
22/01/2004;12,228044;;;;;;
23/01/2004;12,414705;;;;;;
24/01/2004;12,86856;;;;;;
25/01/2004;13,234332;;;;;;
26/01/2004;13,547691;;;;;;
27/01/2004;13,757155;;;;;;
28/01/2004;13,900196;;;;;;
29/01/2004;13,99479;;;;;;
30/01/2004;14,055781;;;;;;
31/01/2004;14,092863;;;;;;
01/02/2004;14,112669;;;;;;
02/02/2004;14,119898;;;;;;
03/02/2004;14,117959;;;;;;
04/02/2004;14,109376;;;;;;
05/02/2004;14,096035;;;;;;
06/02/2004;14,07936;;;;;;
07/02/2004;14,060434;;;;;;
08/02/2004;14,040082;;;;;;
09/02/2004;14,0189295;;;;;;
10/02/2004;13,997452;;;;;;
11/02/2004;13,976008;;;;;;
12/02/2004;13,954865;;;;;;
13/02/2004;13,934221;;;;;;
14/02/2004;13,914215;;;;;;
15/02/2004;13,894947;;;;;;
16/02/2004;13,876481;;;;;;
17/02/2004;13,858669;;;;;;
18/02/2004;13,84071;;;;;;
19/02/2004;13,822669;;;;;;
20/02/2004;16,08588;;;;;;
21/02/2004;17,402763;;;;;;
22/02/2004;17,782032;;;;;;
23/02/2004;17,877165;;;;;;
24/02/2004;17,840673;;;;;;
25/02/2004;17,733757;;;;;;
26/02/2004;17,587116;;;;;;
27/02/2004;17,461689;;;;;;
28/02/2004;17,309116;;;;;;
29/02/2004;17,141613;;;;;;
01/03/2004;16,966936;;;;;;
02/03/2004;16,790188;;;;;;
03/03/2004;16,614775;;;;;;
04/03/2004;16,442995;;;;;;
05/03/2004;16,276386;;;;;;
06/03/2004;16,16926;;;;;;
07/03/2004;16,05323;;;;;;
08/03/2004;15,932819;;;;;;
09/03/2004;15,811142;;;;;;
10/03/2004;15,690364;;;;;;
11/03/2004;15,571989;;;;;;
12/03/2004;15,45705;;;;;;
13/03/2004;15,550068;;;;;;
14/03/2004;15,57633;;;;;;
15/03/2004;15,560744;;;;;;
16/03/2004;15,518195;;;;;;
17/03/2004;15,458193;;;;;;
18/03/2004;15,387098;;;;;;
19/03/2004;15,309294;;;;;;
20/03/2004;15,227865;;;;;;
21/03/2004;15,145006;;;;;;
22/03/2004;15,062286;;;;;;
23/03/2004;14,980825;;;;;;
24/03/2004;14,901414;;;;;;
25/03/2004;14,824601;;;;;;
26/03/2004;14,7507515;;;;;;
27/03/2004;14,680096;;;;;;
28/03/2004;14,6127615;;;;;;
29/03/2004;15,043707;;;;;;
30/03/2004;15,979089;;;;;;
31/03/2004;16,339294;;;;;;
01/04/2004;16,4797;;;;;;
02/04/2004;16,508247;;;;;;
03/04/2004;16,472786;;;;;;
04/04/2004;16,398737;;;;;;
05/04/2004;16,301105;;;;;;
06/04/2004;16,189367;;;;;;
07/04/2004;16,06977;;;;;;
08/04/2004;15,946554;;;;;;
09/04/2004;15,822641;;;;;;
